gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,ChargesPerTenureMonth,TotalServices,IsNewCustomer,IsLongTermCustomer,IsHighValue,ContractRisk,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,13,1,1,49.95,587.45,0,3.567857142857143,2,0,0,0,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,16,1,0,18.95,326.8,0,1.1147058823529412,1,0,0,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,58,1,0,100.35,5681.1,0,1.7008474576271186,5,0,1,1,2,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,0,0,49,1,1,103.7,5036.3,1,2.074,6,0,1,1,3,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,25,1,1,105.5,2686.05,0,4.0576923076923075,6,0,0,0,3,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,1,1,69,1,0,113.25,7895.15,0,1.6178571428571429,8,0,1,1,1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,52,1,0,20.65,1022.95,0,0.38962264150943393,1,0,1,0,2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,1,71,1,0,106.7,7382.25,0,1.4819444444444445,6,0,1,1,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,1,1,10,1,0,55.2,528.35,1,5.0181818181818185,3,0,0,0,3,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,21,1,1,90.05,1862.9,0,4.093181818181818,4,0,0,0,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
1,1,0,0,1,0,1,39.65,39.65,1,19.825,2,1,0,0,3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,12,1,0,19.8,202.25,0,1.5230769230769232,1,0,0,0,2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,1,1,0,20.15,20.15,1,10.075,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,58,1,1,59.9,3505.1,0,1.0152542372881355,4,0,1,0,1,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False
1,0,1,1,49,1,0,59.6,2970.3,0,1.192,4,0,1,0,3,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,0,0,30,1,1,55.3,1530.6,0,1.7838709677419353,3,0,0,0,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,47,1,1,99.35,4749.15,1,2.0697916666666667,5,0,1,1,3,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,1,0,0,30.2,30.2,1,15.1,1,1,0,0,3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,72,1,1,90.25,6369.45,0,1.2363013698630136,8,0,1,1,1,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,1,17,1,1,64.7,1093.1,1,3.5944444444444446,3,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,1,1,0,71,1,1,96.35,6766.95,0,1.3381944444444445,6,0,1,1,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
1,1,1,0,2,1,1,95.5,181.65,0,31.833333333333332,4,1,0,0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,1,1,27,1,0,66.15,1874.45,0,2.3625000000000003,5,0,0,0,2,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True
1,0,0,0,1,1,0,20.2,20.2,0,10.1,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,1,0,0,1,1,0,45.25,45.25,0,22.625,1,1,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,72,1,0,99.9,7251.7,0,1.3684931506849316,6,0,1,1,1,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
1,0,0,0,5,1,1,69.7,316.9,1,11.616666666666667,1,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,46,1,1,74.8,3548.3,0,1.5914893617021275,2,0,1,1,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,34,1,1,106.35,3549.25,1,3.0385714285714283,6,0,0,1,3,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,11,1,1,97.85,1105.4,1,8.154166666666667,5,0,0,0,3,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,1,1,10,1,0,49.55,475.7,0,4.504545454545454,2,0,0,0,2,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True
0,0,1,1,70,1,1,69.2,4872.35,0,0.9746478873239437,5,0,1,0,1,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False
0,0,1,1,17,1,0,20.75,418.25,0,1.1527777777777777,1,0,0,0,2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,0,0,63,1,1,79.85,4861.45,0,1.24765625,7,0,1,1,1,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,0,1,0,13,1,1,76.2,981.45,0,5.442857142857143,6,0,0,0,3,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False
0,0,0,0,49,1,1,84.5,3906.7,0,1.69,3,0,1,1,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,2,1,0,49.25,97.0,0,16.416666666666668,2,1,0,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,2,1,1,80.65,144.15,1,26.883333333333336,2,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,52,1,1,79.75,4217.8,0,1.5047169811320755,6,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False
0,0,1,1,69,1,1,64.15,4254.1,0,0.9164285714285715,5,0,1,0,1,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
0,1,0,0,43,1,1,90.25,3838.75,0,2.0511363636363638,4,0,1,1,3,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,15,1,1,99.1,1426.4,1,6.19375,5,0,0,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,1,1,0,25,1,1,69.5,1752.65,0,2.673076923076923,5,0,0,0,3,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
0,1,1,0,8,1,1,80.65,633.3,1,8.961111111111112,3,0,0,0,3,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,60,1,1,74.85,4456.35,0,1.2270491803278687,6,0,1,1,2,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False
1,1,0,0,18,1,1,95.45,1752.55,1,5.023684210526316,4,0,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,63,1,1,99.65,6311.2,0,1.55703125,5,0,1,1,2,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
1,1,1,1,66,1,1,108.45,7076.35,0,1.6186567164179104,7,0,1,1,2,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False
0,0,1,1,34,1,0,24.95,894.3,0,0.7128571428571429,2,0,0,0,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,72,1,1,107.5,7853.7,0,1.4726027397260273,6,0,1,1,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,1,0,47,1,1,100.5,4707.1,0,2.09375,5,0,1,1,3,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,60,1,1,89.9,5450.7,0,1.4737704918032788,4,0,1,1,3,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
1,0,1,0,72,0,0,42.1,2962.0,0,0.5767123287671233,3,0,1,0,1,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,18,1,1,54.4,957.1,0,2.863157894736842,3,0,0,0,2,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,9,1,0,94.4,857.25,1,9.440000000000001,4,0,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,3,1,1,75.3,244.1,0,18.825,5,1,0,0,3,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,1,0,47,1,1,78.9,3650.35,0,1.64375,3,0,1,1,2,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
0,0,0,0,31,1,0,79.2,2497.2,0,2.475,6,0,0,1,1,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0,1,1,50,1,0,20.15,930.9,0,0.39509803921568626,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,10,1,1,79.85,887.35,0,7.259090909090909,3,0,0,0,3,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
1,0,0,0,1,1,0,49.05,49.05,0,24.525,2,1,0,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,1,1,52,1,1,20.4,1090.65,0,0.38490566037735846,1,0,1,0,2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,1,1,1,64,1,1,111.6,7099.0,0,1.7169230769230768,7,0,1,1,1,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,1,1,62,1,1,24.25,1424.6,0,0.38492063492063494,2,0,1,0,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,0,1,3,1,1,64.5,177.4,0,16.125,4,1,0,0,3,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,1,0,0,56,1,0,110.5,6139.5,0,1.9385964912280702,7,0,1,1,2,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,46,1,0,55.65,2688.85,0,1.1840425531914893,2,0,1,0,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0,0,1,1,8,1,0,54.65,482.25,0,6.072222222222222,3,0,0,0,3,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0,30,1,1,74.75,2111.3,0,2.411290322580645,5,0,0,1,3,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,45,1,1,25.9,1216.6,0,0.5630434782608695,2,0,1,0,2,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
0,0,0,1,1,1,1,79.35,79.35,1,39.675,2,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,1,1,11,0,0,50.55,565.35,0,4.2124999999999995,3,0,0,0,3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,7,1,1,75.15,496.9,1,9.39375,2,0,0,0,3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,42,1,1,103.8,4327.5,0,2.413953488372093,6,0,1,1,3,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False
0,0,1,0,49,1,1,20.15,973.35,0,0.40299999999999997,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,9,1,1,99.3,918.75,0,9.93,5,0,0,0,3,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
0,0,1,0,35,1,1,62.15,2215.45,0,1.7263888888888888,3,0,0,0,2,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
0,0,1,1,48,1,0,20.65,1057.0,0,0.4214285714285714,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,1,46,1,1,19.95,927.1,0,0.42446808510638295,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,0,29,0,0,33.75,1009.25,0,1.125,1,0,0,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
1,0,1,1,30,1,0,82.05,2570.2,0,2.646774193548387,3,0,0,1,3,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,0,0,1,1,0,74.7,74.7,0,37.35,2,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0,1,1,66,1,1,84.0,5714.25,0,1.2537313432835822,7,0,1,1,1,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True
0,0,0,0,65,1,1,111.05,7107.0,0,1.6825757575757576,7,0,1,1,3,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,72,1,1,100.9,7459.05,0,1.382191780821918,6,0,1,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False
0,0,0,0,12,1,1,78.95,927.35,1,6.073076923076924,3,0,0,0,3,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,71,1,1,66.85,4748.7,0,0.9284722222222221,5,0,1,0,2,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,5,1,0,21.05,113.85,1,3.5083333333333333,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,52,1,0,21.0,1107.2,0,0.39622641509433965,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,1,0,25,1,1,98.5,2514.5,1,3.7884615384615383,5,0,0,0,3,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,1,1,0,20.2,20.2,0,10.1,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,1,1,0,19.45,19.45,0,9.725,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,38,1,0,95.0,3605.6,0,2.4358974358974357,5,0,1,1,2,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False
0,1,1,0,66,0,0,45.55,3027.25,0,0.6798507462686567,3,0,1,0,2,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False
1,0,1,0,68,1,1,110.0,7611.85,1,1.5942028985507246,7,0,1,1,1,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,5,0,0,24.3,100.2,0,4.05,0,1,0,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,72,1,1,104.15,7303.05,0,1.4267123287671233,6,0,1,1,2,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,32,0,0,30.15,927.65,0,0.9136363636363636,1,0,0,0,2,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
1,0,0,0,43,1,0,94.35,3921.3,0,2.1443181818181816,4,0,1,1,2,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True
1,0,1,1,72,1,0,19.4,1363.25,0,0.2657534246575342,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,0,55,1,1,96.75,5238.9,1,1.7276785714285714,5,0,1,1,3,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,52,1,0,57.95,3042.25,0,1.0933962264150945,4,0,1,0,2,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
0,0,0,0,43,1,1,91.65,3954.1,0,2.0829545454545455,4,0,1,1,3,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
0,1,1,0,37,1,1,76.5,2868.15,1,2.013157894736842,2,0,1,1,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,64,0,1,54.6,3423.5,0,0.84,4,0,1,0,1,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False
1,0,1,1,3,1,0,89.85,248.4,0,22.4625,4,1,0,0,3,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,36,0,0,31.05,1126.35,0,0.8391891891891892,1,0,0,0,1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,1,10,1,1,100.25,1064.65,1,9.113636363636363,5,0,0,0,3,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,41,1,0,20.65,835.15,0,0.49166666666666664,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,1,1,27,1,1,85.2,2151.6,0,3.042857142857143,4,0,0,0,3,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,56,1,1,99.8,5515.45,0,1.750877192982456,5,0,1,1,2,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False
0,0,0,0,6,1,0,20.7,112.75,0,2.957142857142857,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,3,1,1,74.4,229.55,1,18.6,2,1,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,7,1,0,50.7,350.35,0,6.3375,2,0,0,0,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,4,1,0,20.85,62.9,0,4.17,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,33,1,1,88.95,3027.65,0,2.6161764705882353,4,0,0,1,1,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
0,1,0,0,27,1,1,78.05,2135.5,1,2.7875,3,0,0,0,3,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,72,1,1,23.55,1723.95,0,0.32260273972602743,2,0,1,0,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
1,0,0,0,1,1,0,19.75,19.75,0,9.875,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,1,0,0,71,0,1,56.45,3985.35,0,0.7840277777777778,4,0,1,0,2,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,13,1,1,85.95,1215.65,0,6.139285714285714,3,0,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,1,25,0,1,58.6,1502.65,1,2.253846153846154,5,0,0,0,3,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,67,1,0,50.55,3260.1,0,0.7433823529411764,2,0,1,0,1,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
1,0,0,0,1,0,1,35.45,35.45,1,17.725,1,1,0,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,0,0,2,1,0,44.35,81.25,1,14.783333333333333,1,1,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,43,1,1,25.7,1188.2,0,0.5840909090909091,2,0,1,0,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,23,1,1,75.0,1778.5,0,3.125,2,0,0,0,3,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,1,1,64,1,0,20.2,1277.75,0,0.31076923076923074,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,1,57,1,1,19.6,1170.55,0,0.33793103448275863,1,0,1,0,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,1,0,1,1,1,70.45,70.45,1,35.225,1,1,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,1,72,1,1,88.05,6425.65,0,1.2061643835616438,8,0,1,1,1,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,8,1,0,71.15,563.65,1,7.905555555555556,5,0,0,0,3,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
0,0,1,0,61,1,1,101.05,5971.25,0,1.6298387096774194,5,0,1,1,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False
1,0,0,0,64,1,1,84.3,5289.05,0,1.2969230769230768,4,0,1,1,2,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
1,1,1,0,71,1,0,23.95,1756.2,0,0.3326388888888889,2,0,1,0,1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,0,1,1,65,1,1,99.05,6416.7,0,1.5007575757575757,6,0,1,1,1,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False
1,0,0,0,3,1,0,19.6,61.35,0,4.9,1,1,0,0,2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,1,1,1,45.65,45.65,1,22.825,1,1,0,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,30,1,0,64.5,1929.95,0,2.0806451612903225,4,0,0,0,2,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
1,0,1,1,15,1,1,69.5,1071.4,0,4.34375,5,0,0,0,3,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True
0,0,1,1,8,1,1,68.55,564.35,0,7.616666666666666,4,0,0,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,0,0,7,1,0,95.0,655.5,1,11.875,4,0,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True
0,0,1,1,70,1,1,108.15,7930.55,0,1.5232394366197184,7,0,1,1,2,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False
1,0,1,1,62,1,0,86.1,5215.25,0,1.3666666666666665,7,0,1,1,1,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0,1,1,6,1,0,19.7,113.5,0,2.814285714285714,1,1,0,0,3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,14,1,1,80.9,1152.8,0,5.3933333333333335,2,0,0,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,22,1,1,84.15,1821.95,0,3.6586956521739133,3,0,0,0,3,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
